"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples","# Detects","# Exceedances","# of Samples Within Last 10 Years (2013-2023)","# of Exceedances Within Last 10 Years (2013-2023)","# of Samples Within Last 5 Years (2018-2023)","# Samples Since Last Exceedance","Class C CCC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CCC","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period?","Reevaluation Categorization Decision for Class C","Decision Logic Case #"
"ANACOSTIA LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"4a","D","63","2","N/A - no Class C WQ criteria","63","N/A - no Class C WQ criteria","27","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"ANACOSTIA UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"4a","D","56","5","N/A - no Class C WQ criteria","56","N/A - no Class C WQ criteria","19","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"BROAD BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","25","0","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"DALECARLIA TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"DUMBARTON OAKS","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","26","0","N/A - no Class C WQ criteria","26","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FENWICK BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FORT DUPONT TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT STANTON TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"4a","D","32","1","N/A - no Class C WQ criteria","32","N/A - no Class C WQ criteria","28","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"HICKEY RUN","BENZO_A_ANTHRACENE","PAH2",NA,"4a","D","6","2","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KINGMAN LAKE","BENZO_A_ANTHRACENE","PAH2",NA,"4a","D","25","3","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KLINGLE VALLEY","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"LUZON BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","25","0","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"NASH RUN","BENZO_A_ANTHRACENE","PAH2",NA,"4a","D","7","3","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"NORMANSTONE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"OXON RUN","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEHURST BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POPE BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"4a","D","7","1","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","4","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"PORTAL BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","2","0","N/A - no Class C WQ criteria","2","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POTOMAC LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC MIDDLE","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","24","2","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"SOAPSTONE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"TEXAS AVENUE TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"4a","D","6","1","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"TIDAL BASIN","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WASHINGTON SHIP CHANNEL","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","19","2","N/A - no Class C WQ criteria","19","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"BATTERY KEMBLE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"C&O CANAL","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT CHAPLIN TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT DAVIS TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FOUNDRY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ANACOSTIA LOWER","BENZO_A_PYRENE","PAH3",NA,"4a","D","63","2","N/A - no Class C WQ criteria","63","N/A - no Class C WQ criteria","27","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"ANACOSTIA UPPER","BENZO_A_PYRENE","PAH3",NA,"4a","D","56","4","N/A - no Class C WQ criteria","56","N/A - no Class C WQ criteria","19","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"BROAD BRANCH","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","26","1","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"DALECARLIA TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"DUMBARTON OAKS","BENZO_A_PYRENE","PAH3",NA,"3","D","27","0","N/A - no Class C WQ criteria","26","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FENWICK BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","D","2","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FORT DUPONT TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","24","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT STANTON TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"4a","D","32","0","N/A - no Class C WQ criteria","32","N/A - no Class C WQ criteria","28","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"HICKEY RUN","BENZO_A_PYRENE","PAH3",NA,"4a","D","6","0","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KINGMAN LAKE","BENZO_A_PYRENE","PAH3",NA,"4a","D","25","2","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KLINGLE VALLEY","BENZO_A_PYRENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"LUZON BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","D","3","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","D","25","0","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"NASH RUN","BENZO_A_PYRENE","PAH3",NA,"4a","D","7","2","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"NORMANSTONE CREEK","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","2","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"OXON RUN","BENZO_A_PYRENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEHURST BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","D","4","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEY BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","D","3","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POPE BRANCH","BENZO_A_PYRENE","PAH3",NA,"4a","D","7","0","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","4","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"PORTAL BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","D","2","0","N/A - no Class C WQ criteria","2","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POTOMAC LOWER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC MIDDLE","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC UPPER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK LOWER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","32","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK UPPER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","23","4","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"SOAPSTONE CREEK","BENZO_A_PYRENE","PAH3",NA,"3","D","2","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"TEXAS AVENUE TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"4a","D","6","0","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"TIDAL BASIN","BENZO_A_PYRENE","PAH3",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WASHINGTON SHIP CHANNEL","BENZO_A_PYRENE","PAH3",NA,"3","D","19","1","N/A - no Class C WQ criteria","19","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH LOWER","BENZO_A_PYRENE","PAH3",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH UPPER","BENZO_A_PYRENE","PAH3",NA,"3","D","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"BATTERY KEMBLE CREEK","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"C&O CANAL","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT CHAPLIN TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT DAVIS TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FOUNDRY BRANCH","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ANACOSTIA LOWER","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","D","63","2","N/A - no Class C WQ criteria","63","N/A - no Class C WQ criteria","27","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"ANACOSTIA UPPER","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","D","56","7","N/A - no Class C WQ criteria","56","N/A - no Class C WQ criteria","19","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"BROAD BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","25","0","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"DALECARLIA TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"DUMBARTON OAKS","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","26","0","N/A - no Class C WQ criteria","26","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FENWICK BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FORT DUPONT TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT STANTON TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","D","32","1","N/A - no Class C WQ criteria","32","N/A - no Class C WQ criteria","28","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"HICKEY RUN","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","D","6","0","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KINGMAN LAKE","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","D","25","3","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
