"waterbody_segment","pollutant_name","pollutant_group","test_fraction","current_category","number_of_unique_days_sampled","number_of_samples_1990_to_2021","number_of_detects_1990_to_2021","n_d_exceedance_1990_to_2021","number_of_samples_2011_to_2021","n_d_exceedance_2011_to_2021","number_of_samples_2016_to_2021","number_of_samples_since_last_class_d_exceedance","d_criterion","d_dl_ratio_range","was_last_d_exceedance_within_5_year_period","fish_tissue_results_class_d","decision_description","decision_case_number","updated_tmdl"
"LUZON BRANCH","NAPHTHALENE","PAH1",NA,"3","2","3","0","0","1","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"MELVIN HAZEN VALLEY BRANCH","NAPHTHALENE","PAH1",NA,"3","14","14","0","0","14","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"NASH RUN","NAPHTHALENE","PAH1",NA,"4a","6","7","2","0","7","0","3","0","no criteria",NA,NA,"NA - not sampled",NA,"0","Yes"
"NORMANSTONE CREEK","NAPHTHALENE","PAH1",NA,"Not Listed","2","2","0","0","1","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"OXON RUN","NAPHTHALENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"PINEHURST BRANCH","NAPHTHALENE","PAH1",NA,"3","2","4","0","0","1","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"PINEY BRANCH","NAPHTHALENE","PAH1",NA,"3","2","3","0","0","1","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"POPE BRANCH","NAPHTHALENE","PAH1",NA,"4a","6","7","0","0","7","0","4","0","no criteria",NA,NA,"NA - not sampled",NA,"0","Yes"
"PORTAL BRANCH","NAPHTHALENE","PAH1",NA,"3","1","2","0","0","2","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"POTOMAC LOWER","NAPHTHALENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"POTOMAC MIDDLE","NAPHTHALENE","PAH1",NA,"Not Listed","13","13","1","0","13","0","13","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"POTOMAC UPPER","NAPHTHALENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"ROCK CREEK LOWER","NAPHTHALENE","PAH1",NA,"Not Listed","14","21","0","0","13","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"ROCK CREEK UPPER","NAPHTHALENE","PAH1",NA,"Not Listed","6","23","2","0","0","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"SOAPSTONE CREEK","NAPHTHALENE","PAH1",NA,"3","2","2","0","0","1","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"TEXAS AVENUE TRIBUTARY","NAPHTHALENE","PAH1",NA,"4a","6","6","1","0","6","0","3","0","no criteria",NA,NA,"NA - not sampled",NA,"0","Yes"
"TIDAL BASIN","NAPHTHALENE","PAH1",NA,"3","3","3","1","0","3","0","0","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"WASHINGTON SHIP CHANNEL","NAPHTHALENE","PAH1",NA,"3","7","19","0","0","19","0","12","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"WATTS BRANCH LOWER","NAPHTHALENE","PAH1",NA,"3","3","3","1","0","3","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"WATTS BRANCH UPPER","NAPHTHALENE","PAH1",NA,"3","13","13","0","0","13","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"BATTERY KEMBLE CREEK","NAPHTHALENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"C&O CANAL","NAPHTHALENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FORT CHAPLIN TRIBUTARY","NAPHTHALENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FORT DAVIS TRIBUTARY","NAPHTHALENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FOUNDRY BRANCH","NAPHTHALENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"ANACOSTIA LOWER","PCB_TOTAL","PCB_TOTAL",NA,"4a","13","41","41","41","41","41","29","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in in Category 4a","1","No"
"ANACOSTIA UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","8","30","30","30","30","30","18","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in in Category 4a","1","No"
"BROAD BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","6","6","6","6","6","6","5","0","6.4e-05",NA,"Yes","NA - not sampled","Keep in in Category 4a","1","No"
"DALECARLIA TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in in Category 4a","4","No"
"DUMBARTON OAKS","PCB_TOTAL","PCB_TOTAL",NA,"4a","6","7","7","7","7","7","5","0","6.4e-05",NA,"Yes","NA - not sampled","Keep in in Category 4a","1","No"
"FENWICK BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in in Category 4a","4","No"
"FORT DUPONT TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","5","5","5","5","5","5","5","0","6.4e-05",NA,"Yes","NA - not sampled","Move to Category 5","14","No"
"FORT STANTON TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"4a","8","9","9","9","9","9","5","0","6.4e-05",NA,"Yes","NA - not sampled","Keep in in Category 4a","1","No"
"HICKEY RUN","PCB_TOTAL","PCB_TOTAL",NA,"4a","3","3","3","3","3","3","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in in Category 4a","1","No"
"KINGMAN LAKE","PCB_TOTAL","PCB_TOTAL",NA,"4a","7","18","18","18","18","18","12","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in in Category 4a","1","No"
"KLINGLE VALLEY","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in in Category 4a","4","No"
"LUZON BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in in Category 4a","4","No"
"MELVIN HAZEN VALLEY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","6","6","6","6","6","6","5","0","6.4e-05",NA,"Yes","NA - not sampled","Keep in in Category 4a","1","No"
"NASH RUN","PCB_TOTAL","PCB_TOTAL",NA,"4a","3","4","4","4","4","4","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in in Category 4a","1","No"
"NORMANSTONE CREEK","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in in Category 4a","4","No"
"OXON RUN","PCB_TOTAL","PCB_TOTAL",NA,"4a","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,NA,"NA - not sampled","Move to Category 3","2","No"
"PINEHURST BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in in Category 4a","4","No"
"PINEY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in in Category 4a","4","No"
"POPE BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","3","3","3","3","3","3","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in in Category 4a","1","No"
"PORTAL BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","2","2","2","2","2","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in in Category 4a","1","No"
"POTOMAC LOWER","PCB_TOTAL","PCB_TOTAL",NA,"4a","5","5","5","5","5","5","5","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in in Category 4a","1","No"
"POTOMAC MIDDLE","PCB_TOTAL","PCB_TOTAL",NA,"4a","5","5","5","5","5","5","5","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in in Category 4a","1","No"
"POTOMAC UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","5","5","5","5","5","5","5","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in in Category 4a","1","No"
"ROCK CREEK LOWER","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","5","5","5","5","5","5","5","0","6.4e-05",NA,"Yes","NA - not sampled","Move to Category 5","14","No"
"ROCK CREEK UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,NA,"NA - not sampled","Move to Category 3","2","No"
"SOAPSTONE CREEK","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in in Category 4a","4","No"
"TEXAS AVENUE TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"4a","3","3","3","3","3","3","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in in Category 4a","1","No"
"TIDAL BASIN","PCB_TOTAL","PCB_TOTAL",NA,"4a","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,NA,"Exceedances in fish tissue","Move to Category 3","2","No"
"WASHINGTON SHIP CHANNEL","PCB_TOTAL","PCB_TOTAL",NA,"4a","4","16","16","16","16","16","12","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in in Category 4a","1","No"
"WATTS BRANCH LOWER","PCB_TOTAL","PCB_TOTAL",NA,"4a","3","3","3","3","3","3","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in in Category 4a","1","No"
"WATTS BRANCH UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","5","5","5","5","5","5","5","0","6.4e-05",NA,"Yes","NA - not sampled","Keep in in Category 4a","1","No"
"BATTERY KEMBLE CREEK","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","PCB_TOTAL","PCB_TOTAL",NA,"4a","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,NA,"NA - not sampled","Move to Category 3","2","No"
"FORT CHAPLIN TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","PYRENE","PAH2",NA,"4a","24","52","14","0","52","0","40","0","30","0.0005 - 0.00667",NA,"No exceedances","Remove from Category 4a","3","Yes"
"ANACOSTIA UPPER","PYRENE","PAH2",NA,"4a","14","56","30","0","56","0","37","0","30","0.0005 - 0.00667",NA,"No exceedances","Remove from Category 4a","3","Yes"
"BROAD BRANCH","PYRENE","PAH2",NA,"Not Listed","15","15","0","0","14","0","13","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Take no action","15","No"
"DALECARLIA TRIBUTARY","PYRENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","PYRENE","PAH2",NA,"3","15","16","1","0","15","0","13","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 3","10","No"
"FENWICK BRANCH","PYRENE","PAH2",NA,"3","2","2","1","0","1","0","0","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","PYRENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Take no action","15","No"
"FORT STANTON TRIBUTARY","PYRENE","PAH2",NA,"4a","19","20","2","0","20","0","16","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"HICKEY RUN","PYRENE","PAH2",NA,"4a","5","6","2","0","6","0","3","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"KINGMAN LAKE","PYRENE","PAH2",NA,"4a","13","25","14","0","25","0","15","0","30","0.0005 - 0.00667",NA,"No exceedances","Remove from Category 4a","3","Yes"
"KLINGLE VALLEY","PYRENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","PYRENE","PAH2",NA,"3","2","3","1","0","1","0","0","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","PYRENE","PAH2",NA,"3","14","14","0","0","14","0","13","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 3","10","No"
"NASH RUN","PYRENE","PAH2",NA,"4a","6","7","4","0","7","0","3","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"NORMANSTONE CREEK","PYRENE","PAH2",NA,"Not Listed","2","2","0","0","1","0","0","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","PYRENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEHURST BRANCH","PYRENE","PAH2",NA,"3","2","4","0","0","1","0","0","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEY BRANCH","PYRENE","PAH2",NA,"3","2","3","0","0","1","0","0","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 3","8","No"
"POPE BRANCH","PYRENE","PAH2",NA,"4a","6","7","0","0","7","0","4","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"PORTAL BRANCH","PYRENE","PAH2",NA,"3","1","2","0","0","2","0","0","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","PYRENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","30","0.0005 - 0.00667",NA,"No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","PYRENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","30","0.0005 - 0.00667",NA,"No exceedances","Take no action","15","No"
"POTOMAC UPPER","PYRENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","30","0.0005 - 0.00667",NA,"No exceedances","Take no action","15","No"
"ROCK CREEK LOWER","PYRENE","PAH2",NA,"Not Listed","14","21","5","0","13","0","13","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Take no action","15","No"
"ROCK CREEK UPPER","PYRENE","PAH2",NA,"Not Listed","6","23","18","0","0","0","0","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Take no action","15","No"
"SOAPSTONE CREEK","PYRENE","PAH2",NA,"3","2","2","0","0","1","0","0","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","PYRENE","PAH2",NA,"4a","6","6","1","0","6","0","3","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"TIDAL BASIN","PYRENE","PAH2",NA,"3","3","3","0","0","3","0","0","0","30","0.0005 - 0.00667",NA,"No exceedances","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","PYRENE","PAH2",NA,"3","7","19","3","0","19","0","12","0","30","0.0005 - 0.00667",NA,"No exceedances","Remove from Category 3","10","No"
"WATTS BRANCH LOWER","PYRENE","PAH2",NA,"3","3","3","0","0","3","0","0","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 3","8","No"
"WATTS BRANCH UPPER","PYRENE","PAH2",NA,"3","13","13","0","0","13","0","13","0","30","0.0005 - 0.00667",NA,"NA - not sampled","Remove from Category 3","10","No"
"BATTERY KEMBLE CREEK","PYRENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","30","0.0005 - 0.00667",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","PYRENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","30","0.0005 - 0.00667",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","PYRENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","30","0.0005 - 0.00667",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","PYRENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","30","0.0005 - 0.00667",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","PYRENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","30","0.0005 - 0.00667",NA,"NA - not sampled","Take no action","15","No"
