"Waterbody","Pollutant","Pollutant Group","Test Fraction","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples","# Detects","# Exceedances","# of Samples Within Last 10 Years (2013-2023)","# of Exceedances Within Last 10 Years (2013-2023)","# of Samples Within Last 5 Years (2018-2023)","# Samples Since Last Exceedance","Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion","Was Last Exceedance Within Current 5-year Assessment Period?","Fish Tissue Results","Reevaluation Categorization Decision for Class D","Decision Logic Case #"
"PORTAL BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","2","0","0","2","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","4","0.0013","14.6 - 70.8","Yes","No exceedances","Move to Category 3","18"
"POTOMAC MIDDLE","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","21","0.0013","14.6 - 70.8","Yes","No exceedances","Move to Category 3","18"
"POTOMAC UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","20","0.0013","14.6 - 70.8","Yes","No exceedances","Move to Category 3","18"
"ROCK CREEK LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","24","2","2","24","2","24","9","0.0013","14.6 - 70.8","Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","6","0","0","6","0","3","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Move to Category 3","2"
"TIDAL BASIN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","3","0","0","3","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","19","2","2","19","2","0","4","0.0013","14.6 - 70.8","No","No exceedances","Move to Category 5","7"
"WATTS BRANCH LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","3","0","0","3","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","24","1","1","24","1","24","3","0.0013","14.6 - 70.8","Yes","NA - not sampled","Keep in Category 3","12"
"BATTERY KEMBLE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","44","44","44","44","44","8","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in Category 4a","1"
"ANACOSTIA UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","30","30","30","30","30","0","0","6.4e-05",NA,"No","Exceedances in fish tissue","Keep in Category 4a","1"
"BROAD BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","9","9","9","9","9","8","0","6.4e-05",NA,"Yes","NA - not sampled","Keep in Category 4a","1"
"DALECARLIA TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"DUMBARTON OAKS","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","10","10","10","10","10","8","0","6.4e-05",NA,"Yes","NA - not sampled","Keep in Category 4a","1"
"FENWICK BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"FORT DUPONT TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","none","7","7","7","7","7","7","0","6.4e-05",NA,"Yes","NA - not sampled","Move to Category 5","14"
"FORT STANTON TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","11","11","11","11","11","7","0","6.4e-05",NA,"Yes","NA - not sampled","Keep in Category 4a","1"
"HICKEY RUN","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","3","3","3","3","3","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","1"
"KINGMAN LAKE","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","18","18","18","18","18","0","0","6.4e-05",NA,"No","Exceedances in fish tissue","Keep in Category 4a","1"
"KLINGLE VALLEY","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"LUZON BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"MELVIN HAZEN VALLEY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","9","9","9","9","9","8","0","6.4e-05",NA,"Yes","NA - not sampled","Keep in Category 4a","1"
"NASH RUN","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","4","4","4","4","4","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","1"
"NORMANSTONE CREEK","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"OXON RUN","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","NA - not sampled","Move to Category 3","2"
"PINEHURST BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"PINEY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"POPE BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","3","3","3","3","3","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","1"
"PORTAL BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","2","2","2","2","2","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","1"
"POTOMAC LOWER","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","8","8","8","8","8","8","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in Category 4a","1"
"POTOMAC MIDDLE","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","8","8","8","8","8","8","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in Category 4a","1"
"POTOMAC UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","7","7","7","7","7","7","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in Category 4a","1"
"ROCK CREEK LOWER","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","none","8","8","8","8","8","8","0","6.4e-05",NA,"Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","NA - not sampled","Move to Category 3","2"
"SOAPSTONE CREEK","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"TEXAS AVENUE TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","3","3","3","3","3","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","1"
"TIDAL BASIN","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","Exceedances in fish tissue","Move to Category 3","2"
"WASHINGTON SHIP CHANNEL","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","16","16","16","16","16","0","0","6.4e-05",NA,"No","Exceedances in fish tissue","Keep in Category 4a","1"
"WATTS BRANCH LOWER","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","3","3","3","3","3","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","1"
"WATTS BRANCH UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","7","7","7","7","7","7","0","6.4e-05",NA,"Yes","NA - not sampled","Keep in Category 4a","1"
"BATTERY KEMBLE CREEK","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","NA - not sampled","Move to Category 3","2"
"FORT CHAPLIN TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","PYRENE","PAH2",NA,"4a","D","63","14","0","63","0","27","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Remove from Category 4a","3"
"ANACOSTIA UPPER","PYRENE","PAH2",NA,"4a","D","56","30","0","56","0","19","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Remove from Category 4a","3"
"BROAD BRANCH","PYRENE","PAH2",NA,"Not Listed","none","26","0","0","25","0","24","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","PYRENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","PYRENE","PAH2",NA,"3","D","27","1","0","26","0","24","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","10"
"FENWICK BRANCH","PYRENE","PAH2",NA,"3","D","2","1","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","PYRENE","PAH2",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","PYRENE","PAH2",NA,"4a","D","32","2","0","32","0","28","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 4a","3"
"HICKEY RUN","PYRENE","PAH2",NA,"4a","D","6","2","0","6","0","3","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 4a","3"
"KINGMAN LAKE","PYRENE","PAH2",NA,"4a","D","25","14","0","25","0","3","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Remove from Category 4a","3"
"KLINGLE VALLEY","PYRENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","PYRENE","PAH2",NA,"3","D","3","1","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","PYRENE","PAH2",NA,"3","D","25","0","0","25","0","24","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","10"
"NASH RUN","PYRENE","PAH2",NA,"4a","D","7","4","0","7","0","3","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 4a","3"
"NORMANSTONE CREEK","PYRENE","PAH2",NA,"Not Listed","none","2","0","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","PYRENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","PYRENE","PAH2",NA,"3","D","4","0","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","PYRENE","PAH2",NA,"3","D","3","0","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","PYRENE","PAH2",NA,"4a","D","7","0","0","7","0","4","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 4a","3"
"PORTAL BRANCH","PYRENE","PAH2",NA,"3","D","2","0","0","2","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","PYRENE","PAH2",NA,"Not Listed","none","24","1","0","24","0","24","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","PYRENE","PAH2",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","PYRENE","PAH2",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","PYRENE","PAH2",NA,"Not Listed","none","32","5","0","24","0","24","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"ROCK CREEK UPPER","PYRENE","PAH2",NA,"Not Listed","none","23","18","0","0","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","PYRENE","PAH2",NA,"3","D","2","0","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","PYRENE","PAH2",NA,"4a","D","6","1","0","6","0","3","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 4a","3"
"TIDAL BASIN","PYRENE","PAH2",NA,"3","D","3","0","0","3","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","PYRENE","PAH2",NA,"3","D","19","3","0","19","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Remove from Category 3","8"
"WATTS BRANCH LOWER","PYRENE","PAH2",NA,"3","D","3","0","0","3","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","PYRENE","PAH2",NA,"3","D","24","0","0","24","0","24","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","10"
"BATTERY KEMBLE CREEK","PYRENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","PYRENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","PYRENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","PYRENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","PYRENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
