"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceedance","Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Fish Tissue Results","Reevaluation Categorization Decision for Class D","Decision Logic Case #"
"FORT STANTON TRIBUTARY","FLUORENE","PAH1",NA,"4a","19","20","0","0","20","0","16","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 4a","3"
"HICKEY RUN","FLUORENE","PAH1",NA,"4a","5","6","0","0","6","0","3","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 4a","3"
"KINGMAN LAKE","FLUORENE","PAH1",NA,"4a","13","25","1","0","25","0","15","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Remove from Category 4a","3"
"KLINGLE VALLEY","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","FLUORENE","PAH1",NA,"3","14","14","0","0","14","0","13","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","10"
"NASH RUN","FLUORENE","PAH1",NA,"4a","6","7","0","0","7","0","3","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 4a","3"
"NORMANSTONE CREEK","FLUORENE","PAH1",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","FLUORENE","PAH1",NA,"4a","6","7","0","0","7","0","4","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 4a","3"
"PORTAL BRANCH","FLUORENE","PAH1",NA,"3","1","2","0","0","2","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"ROCK CREEK UPPER","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","FLUORENE","PAH1",NA,"4a","6","6","0","0","6","0","3","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 4a","3"
"TIDAL BASIN","FLUORENE","PAH1",NA,"3","3","3","0","0","3","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","FLUORENE","PAH1",NA,"3","7","19","0","0","19","0","12","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Remove from Category 3","10"
"WATTS BRANCH LOWER","FLUORENE","PAH1",NA,"3","3","3","0","0","3","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","FLUORENE","PAH1",NA,"3","13","13","0","0","13","0","13","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","10"
"BATTERY KEMBLE CREEK","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","24","52","1","1","52","1","40","9","3.2e-05","4.06 - 153","Yes","No exceedances","Keep in Category 4a","5"
"ANACOSTIA UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","17","105","23","23","105","23","86","0","3.2e-05","4.06 - 153","Yes","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","14","14","8","8","14","8","13","2","3.2e-05","4.06 - 153","Yes","NA - not sampled","Keep in Category 4a","1"
"DALECARLIA TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"DUMBARTON OAKS","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","14","15","11","11","15","11","13","2","3.2e-05","4.06 - 153","Yes","NA - not sampled","Keep in Category 4a","1"
"FENWICK BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"FORT DUPONT TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","1","1","13","1","13","5","3.2e-05","4.06 - 153","Yes","NA - not sampled","Move to Category 3","18"
"FORT STANTON TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","16","17","0","0","17","0","13","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Not listed - take no action","15"
"HICKEY RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","5","6","0","0","6","0","3","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Keep in Category 3","9"
"KINGMAN LAKE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","13","25","1","1","25","1","15","11","3.2e-05","4.06 - 153","Yes","No exceedances","Keep in Category 3","12"
"KLINGLE VALLEY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"LUZON BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"MELVIN HAZEN VALLEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","14","14","2","2","14","2","13","4","3.2e-05","4.06 - 153","Yes","NA - not sampled","Move to Category 5","7"
"NASH RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","6","7","2","2","7","2","3","3","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","1"
"NORMANSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"OXON RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","1","1","0","0","1","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"PINEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"POPE BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","6","7","3","3","7","3","4","4","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","1"
"PORTAL BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","2","2","2","2","2","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","1"
"POTOMAC LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","3.2e-05","4.06 - 153","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","1","1","13","1","13","9","3.2e-05","4.06 - 153","Yes","No exceedances","Move to Category 3","18"
"POTOMAC UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","1","1","13","1","13","7","3.2e-05","4.06 - 153","Yes","No exceedances","Move to Category 3","18"
"ROCK CREEK LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","7","7","13","7","13","2","3.2e-05","4.06 - 153","Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","0","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Move to Category 3","2"
"SOAPSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"TEXAS AVENUE TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","6","6","3","3","6","3","3","2","3.2e-05","4.06 - 153","Yes","NA - not sampled","Keep in Category 4a","1"
"TIDAL BASIN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","3","3","0","0","3","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","7","19","0","0","19","0","12","No exceedance","3.2e-05","4.06 - 153","No exceedance","No exceedances","Keep in Category 3","9"
"WATTS BRANCH LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","6","7","0","0","7","0","4","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Keep in Category 3","9"
"WATTS BRANCH UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","13","13","1","1","13","1","13","2","3.2e-05","4.06 - 153","Yes","NA - not sampled","Keep in Category 3","12"
"BATTERY KEMBLE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","24","52","2","2","52","2","40","18","0.0013","14.6 - 70.8","Yes","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","14","56","2","2","56","2","37","28","0.0013","14.6 - 70.8","Yes","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","14","14","1","1","14","1","13","8","0.0013","14.6 - 70.8","Yes","NA - not sampled","Move to Category 3","18"
"DALECARLIA TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","14","15","0","0","15","0","13","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Keep in Category 3","9"
"FENWICK BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","19","20","0","0","20","0","16","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Move to Category 3","2"
"HICKEY RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","5","6","0","0","6","0","3","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Move to Category 3","2"
"KINGMAN LAKE","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","13","25","1","1","25","1","15","15","0.0013","14.6 - 70.8","No","No exceedances","Keep in Category 4a","5"
"KLINGLE VALLEY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","14","14","0","0","14","0","13","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Keep in Category 3","9"
"NASH RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","6","7","1","1","7","1","3","1","0.0013","14.6 - 70.8","Yes","NA - not sampled","Keep in Category 4a","5"
"NORMANSTONE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","6","7","1","1","7","1","4","4","0.0013","14.6 - 70.8","No","NA - not sampled","Keep in Category 4a","5"
"PORTAL BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","2","0","0","2","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.0013","14.6 - 70.8","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","10","0.0013","14.6 - 70.8","Yes","No exceedances","Move to Category 3","18"
"POTOMAC UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","9","0.0013","14.6 - 70.8","Yes","No exceedances","Move to Category 3","18"
"ROCK CREEK LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","11","0.0013","14.6 - 70.8","Yes","NA - not sampled","Move to Category 3","18"
"ROCK CREEK UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","6","6","0","0","6","0","3","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Move to Category 3","2"
"TIDAL BASIN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","3","3","0","0","3","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","7","19","2","2","19","2","12","4","0.0013","14.6 - 70.8","Yes","No exceedances","Move to Category 5","7"
"WATTS BRANCH LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","3","3","0","0","3","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","13","13","0","0","13","0","13","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Keep in Category 3","9"
"BATTERY KEMBLE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","NAPHTHALENE","PAH1",NA,"4a","24","52","0","N/A - no Class D WQ criteria","52","N/A - no Class D WQ criteria","40","No exceedance","no criteria",NA,"No exceedance","No exceedances","Remove from Category 4a","0"
"ANACOSTIA UPPER","NAPHTHALENE","PAH1",NA,"4a","14","56","3","N/A - no Class D WQ criteria","56","N/A - no Class D WQ criteria","37","No exceedance","no criteria",NA,"No exceedance","No exceedances","Remove from Category 4a","0"
"BROAD BRANCH","NAPHTHALENE","PAH1",NA,"Not Listed","15","15","0","N/A - no Class D WQ criteria","14","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"DALECARLIA TRIBUTARY","NAPHTHALENE","PAH1",NA,"3","1","1","1","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"DUMBARTON OAKS","NAPHTHALENE","PAH1",NA,"3","15","16","0","N/A - no Class D WQ criteria","15","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"FENWICK BRANCH","NAPHTHALENE","PAH1",NA,"3","2","2","0","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"FORT DUPONT TRIBUTARY","NAPHTHALENE","PAH1",NA,"Not Listed","13","13","0","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"FORT STANTON TRIBUTARY","NAPHTHALENE","PAH1",NA,"4a","19","20","1","N/A - no Class D WQ criteria","20","N/A - no Class D WQ criteria","16","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 4a","0"
"HICKEY RUN","NAPHTHALENE","PAH1",NA,"4a","5","6","2","N/A - no Class D WQ criteria","6","N/A - no Class D WQ criteria","3","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 4a","0"
"KINGMAN LAKE","NAPHTHALENE","PAH1",NA,"4a","13","25","2","N/A - no Class D WQ criteria","25","N/A - no Class D WQ criteria","15","No exceedance","no criteria",NA,"No exceedance","No exceedances","Remove from Category 4a","0"
"KLINGLE VALLEY","NAPHTHALENE","PAH1",NA,"3","1","1","0","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"LUZON BRANCH","NAPHTHALENE","PAH1",NA,"3","2","3","0","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"MELVIN HAZEN VALLEY BRANCH","NAPHTHALENE","PAH1",NA,"3","14","14","0","N/A - no Class D WQ criteria","14","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"NASH RUN","NAPHTHALENE","PAH1",NA,"4a","6","7","2","N/A - no Class D WQ criteria","7","N/A - no Class D WQ criteria","3","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 4a","0"
"NORMANSTONE CREEK","NAPHTHALENE","PAH1",NA,"Not Listed","2","2","0","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"OXON RUN","NAPHTHALENE","PAH1",NA,"3","1","1","0","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"PINEHURST BRANCH","NAPHTHALENE","PAH1",NA,"3","2","4","0","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"PINEY BRANCH","NAPHTHALENE","PAH1",NA,"3","2","3","0","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"POPE BRANCH","NAPHTHALENE","PAH1",NA,"4a","6","7","0","N/A - no Class D WQ criteria","7","N/A - no Class D WQ criteria","4","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 4a","0"
"PORTAL BRANCH","NAPHTHALENE","PAH1",NA,"3","1","2","0","N/A - no Class D WQ criteria","2","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"POTOMAC LOWER","NAPHTHALENE","PAH1",NA,"Not Listed","13","13","0","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"POTOMAC MIDDLE","NAPHTHALENE","PAH1",NA,"Not Listed","13","13","1","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"POTOMAC UPPER","NAPHTHALENE","PAH1",NA,"Not Listed","13","13","0","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"ROCK CREEK LOWER","NAPHTHALENE","PAH1",NA,"Not Listed","14","21","0","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"ROCK CREEK UPPER","NAPHTHALENE","PAH1",NA,"Not Listed","6","23","2","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"SOAPSTONE CREEK","NAPHTHALENE","PAH1",NA,"3","2","2","0","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
